id,sleep_date,total_minutes_asleep_sum
1503960366,2016-03-13,441
1503960366,2016-03-14,423
1503960366,2016-03-15,365
1503960366,2016-03-16,404
1503960366,2016-03-17,473
1503960366,2016-03-18,449
1503960366,2016-03-19,490
1503960366,2016-03-20,483
1503960366,2016-03-21,471
1503960366,2016-03-23,316
1503960366,2016-03-24,389
1503960366,2016-03-25,424
1503960366,2016-03-26,511
1503960366,2016-03-27,533
1503960366,2016-03-28,81
1503960366,2016-03-29,411
1503960366,2016-03-31,365
1503960366,2016-04-01,333
1503960366,2016-04-02,591
1503960366,2016-04-03,480
1503960366,2016-04-04,392
1503960366,2016-04-05,343
1503960366,2016-04-09,437
1503960366,2016-04-10,503
1503960366,2016-04-11,351
1644430081,2016-03-27,638
1644430081,2016-03-28,466
1644430081,2016-03-29,215
1644430081,2016-03-30,1201
1844505072,2016-04-03,232
1844505072,2016-04-04,771
1844505072,2016-04-09,1160
1844505072,2016-04-10,383
1927972279,2016-03-11,44
1927972279,2016-03-12,650
1927972279,2016-03-13,530
1927972279,2016-03-14,186
1927972279,2016-03-15,68
1927972279,2016-03-16,696
1927972279,2016-03-17,6
1927972279,2016-03-18,591
1927972279,2016-03-19,641
1927972279,2016-03-20,609
1927972279,2016-03-21,370
1927972279,2016-03-22,413
1927972279,2016-03-23,505
1927972279,2016-03-24,447
1927972279,2016-03-25,66
1927972279,2016-03-26,425
1927972279,2016-03-27,129
1927972279,2016-03-28,241
1927972279,2016-03-29,615
1927972279,2016-03-30,407
1927972279,2016-03-31,551
1927972279,2016-04-01,397
1927972279,2016-04-02,357
1927972279,2016-04-03,116
1927972279,2016-04-04,501
1927972279,2016-04-05,451
1927972279,2016-04-06,445
1927972279,2016-04-09,56
1927972279,2016-04-10,516
1927972279,2016-04-11,559
1927972279,2016-04-12,514
2022484408,2016-03-13,153
2026352035,2016-03-11,174
2026352035,2016-03-12,610
2026352035,2016-03-13,696
2026352035,2016-03-14,566
2026352035,2016-03-15,454
2026352035,2016-03-16,185
2026352035,2016-03-17,545
2026352035,2016-03-18,651
2026352035,2016-03-19,591
2026352035,2016-03-20,639
2026352035,2016-03-21,647
2026352035,2016-03-22,574
2026352035,2016-03-23,638
2026352035,2016-03-24,608
