id,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,day_of_week,month,active_minutes
1503960366,2016-03-25T00:00:00Z,11004,7.1100001335144,7.1100001335144,0,2.5699999332428,0.46000000834465,4.07000017166138,0,33,12,205,804,1819,الجمعة,مارس,250
1503960366,2016-03-26T00:00:00Z,17609,11.5500001907349,11.5500001907349,0,6.92000007629395,0.730000019073486,3.91000008583069,0,89,17,274,588,2154,السبت,مارس,380
1503960366,2016-03-27T00:00:00Z,12736,8.52999973297119,8.52999973297119,0,4.65999984741211,0.159999996423721,3.71000003814697,0,56,5,268,605,1944,الأحد,مارس,329
1503960366,2016-03-28T00:00:00Z,13231,8.93000030517578,8.93000030517578,0,3.19000005722046,0.790000021457672,4.94999980926514,0,39,20,224,1080,1932,الإثنين,مارس,283
1503960366,2016-03-29T00:00:00Z,12041,7.84999990463257,7.84999990463257,0,2.16000008583069,1.0900000333786,4.6100001335144,0,28,28,243,763,1886,الثلاثاء,مارس,299
1503960366,2016-03-30T00:00:00Z,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,الأربعاء,مارس,266
1503960366,2016-03-31T00:00:00Z,12256,7.8600001335144,7.8600001335144,0,2.28999996185303,0.490000009536743,5.03999996185303,0,33,12,239,820,1889,الخميس,مارس,284
1503960366,2016-01-04T00:00:00Z,12262,7.86999988555908,7.86999988555908,0,3.3199999332428,0.829999983310699,3.64000010490417,0,47,21,200,866,1868,الإثنين,يناير,268
1503960366,2016-02-04T00:00:00Z,11248,7.25,7.25,0,3,0.449999988079071,3.74000000953674,0,40,11,244,636,1843,الخميس,فبراير,295
1503960366,2016-03-04T00:00:00Z,10016,6.36999988555908,6.36999988555908,0,0.910000026226044,1.27999997138977,4.17999982833862,0,15,30,314,655,1850,الجمعة,مارس,359
1503960366,2016-04-04T00:00:00Z,14557,9.80000019073486,9.80000019073486,0,3.39000010490417,0.699999988079071,5.69000005722046,0,43,18,285,757,2030,الإثنين,أبريل,346
1503960366,2016-05-04T00:00:00Z,14844,9.72999954223633,9.72999954223633,0,2.94000005722046,0.759999990463257,6.03999996185303,0,36,18,341,736,2083,الأربعاء,مايو,395
1503960366,2016-06-04T00:00:00Z,11974,7.67000007629395,7.67000007629395,0,2.03999996185303,0.479999989271164,5.15000009536743,0,27,12,228,1173,1861,السبت,يونيو,267
1503960366,2016-07-04T00:00:00Z,10198,6.44000005722046,6.44000005722046,0,1.20000004768372,0.790000021457672,4.44999980926514,0,17,20,195,1208,1755,الإثنين,يوليو,232
1503960366,2016-08-04T00:00:00Z,12521,7.94000005722046,7.94000005722046,0,3.30999994277954,0.899999976158142,3.74000000953674,0,46,22,212,1160,1895,الخميس,أغسطس,280
